Listing of Grid Distortion Data

File : affine_example.txt
Title: Affine Example
Date : 25/06/2021

Units are Millimeters.
Field units are degrees
Wavelength: 1.00000 um
Reference Coordinates: Xref = 0.0, Yref = 0.0


   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
  -5	  -5	  3.33333E-01	  3.33333E-01	  4.71405E-01	  3.33333E+00	  3.33333E+00	  3.60363E+00	  4.49595E+00	   --20.71579%
  -5	  -4	  3.33333E-01	  5.00000E-01	  6.00925E-01	  3.33333E+00	  5.00000E+00	  3.47290E+00	  5.99025E+00	   --14.44264%
  -5	  -3	  3.33333E-01	  6.66667E-01	  7.45356E-01	  3.33333E+00	  6.66667E+00	  3.34217E+00	  7.48454E+00	   --9.97845%
  -5	  -2	  3.33333E-01	  8.33333E-01	  8.97527E-01	  3.33333E+00	  8.33333E+00	  3.21143E+00	  8.97883E+00	   --6.88879%
  -5	  -1	  3.33333E-01	  1.00000E+00	  1.05409E+00	  3.33333E+00	  1.00000E+01	  3.08070E+00	  1.04731E+01	   --4.91303%
  -5	   0	  3.33333E-01	 -1.00000E+00	  1.05409E+00	  3.33333E+00	 -1.00000E+01	  4.64950E+00	 -7.45838E+00	    32.56582%
  -5	   1	  3.33333E-01	 -8.33333E-01	  8.97527E-01	  3.33333E+00	 -8.33333E+00	  4.51877E+00	 -5.96409E+00	    35.40547%
  -5	   2	  3.33333E-01	 -6.66667E-01	  7.45356E-01	  3.33333E+00	 -6.66667E+00	  4.38804E+00	 -4.46980E+00	    38.90558%
  -5	   3	  3.33333E-01	 -5.00000E-01	  6.00925E-01	  3.33333E+00	 -5.00000E+00	  4.25730E+00	 -2.97551E+00	    42.84460%
  -5	   4	  3.33333E-01	 -3.33333E-01	  4.71405E-01	  3.33333E+00	 -3.33333E+00	  4.12657E+00	 -1.48121E+00	    45.95514%
  -5	   5	  3.33333E-01	 -1.66667E-01	  3.72678E-01	  3.33333E+00	 -1.66667E+00	  3.99584E+00	  1.30772E-02	   --45.18859%
  -5	   6	  3.33333E-01	  0.00000E+00	  3.33333E-01	  3.33333E+00	  0.00000E+00	  3.86510E+00	  1.50737E+00	   --38.52876%
  -4	  -6	  5.00000E-01	  1.66667E-01	  5.27046E-01	  5.00000E+00	  1.66667E+00	  5.72676E+00	  3.17597E+00	   --25.58100%
  -4	  -5	  5.00000E-01	  3.33333E-01	  6.00925E-01	  5.00000E+00	  3.33333E+00	  5.59602E+00	  4.67026E+00	   --20.08245%
  -4	  -4	  5.00000E-01	  5.00000E-01	  7.07107E-01	  5.00000E+00	  5.00000E+00	  5.46529E+00	  6.16456E+00	   --15.22224%
  -4	  -3	  5.00000E-01	  6.66667E-01	  8.33333E-01	  5.00000E+00	  6.66667E+00	  5.33456E+00	  7.65885E+00	   --11.21832%
  -4	  -2	  5.00000E-01	  8.33333E-01	  9.71825E-01	  5.00000E+00	  8.33333E+00	  5.20382E+00	  9.15314E+00	   --8.02323%
  -4	  -1	  5.00000E-01	  1.00000E+00	  1.11803E+00	  5.00000E+00	  1.00000E+01	  5.07309E+00	  1.06474E+01	   --5.52427%
  -4	   0	  5.00000E-01	 -1.00000E+00	  1.11803E+00	  5.00000E+00	 -1.00000E+01	  6.64189E+00	 -7.28407E+00	    32.19497%
  -4	   1	  5.00000E-01	 -8.33333E-01	  9.71825E-01	  5.00000E+00	 -8.33333E+00	  6.51116E+00	 -5.78978E+00	    33.95599%
  -4	   2	  5.00000E-01	 -6.66667E-01	  8.33333E-01	  5.00000E+00	 -6.66667E+00	  6.38043E+00	 -4.29549E+00	    35.67170%
  -4	   3	  5.00000E-01	 -5.00000E-01	  7.07107E-01	  5.00000E+00	 -5.00000E+00	  6.24969E+00	 -2.80120E+00	    36.92828%
  -4	   4	  5.00000E-01	 -3.33333E-01	  6.00925E-01	  5.00000E+00	 -3.33333E+00	  6.11896E+00	 -1.30690E+00	   --36.99620%
  -4	   5	  5.00000E-01	 -1.66667E-01	  5.27046E-01	  5.00000E+00	 -1.66667E+00	  5.98823E+00	  1.87389E-01	   --35.06799%
  -4	   6	  5.00000E-01	  0.00000E+00	  5.00000E-01	  5.00000E+00	  0.00000E+00	  5.85749E+00	  1.68168E+00	   --30.97548%
  -3	  -6	  6.66667E-01	  1.66667E-01	  6.87184E-01	  6.66667E+00	  1.66667E+00	  7.71915E+00	  3.35028E+00	   --23.59542%
  -3	  -5	  6.66667E-01	  3.33333E-01	  7.45356E-01	  6.66667E+00	  3.33333E+00	  7.58841E+00	  4.84458E+00	   --19.66192%
  -3	  -4	  6.66667E-01	  5.00000E-01	  8.33333E-01	  6.66667E+00	  5.00000E+00	  7.45768E+00	  6.33887E+00	   --15.88816%
  -3	  -3	  6.66667E-01	  6.66667E-01	  9.42809E-01	  6.66667E+00	  6.66667E+00	  7.32695E+00	  7.83316E+00	   --12.49700%
  -3	  -2	  6.66667E-01	  8.33333E-01	  1.06719E+00	  6.66667E+00	  8.33333E+00	  7.19621E+00	  9.32745E+00	   --9.56101%
  -3	  -1	  6.66667E-01	  1.00000E+00	  1.20185E+00	  6.66667E+00	  1.00000E+01	  7.06548E+00	  1.08217E+01	   --7.06751%
  -3	   0	  6.66667E-01	 -1.00000E+00	  1.20185E+00	  6.66667E+00	 -1.00000E+01	  8.63428E+00	 -7.10976E+00	    31.26055%
  -3	   1	  6.66667E-01	 -8.33333E-01	  1.06719E+00	  6.66667E+00	 -8.33333E+00	  8.50355E+00	 -5.61547E+00	    32.19100%
  -3	   2	  6.66667E-01	 -6.66667E-01	  9.42809E-01	  6.66667E+00	 -6.66667E+00	  8.37282E+00	 -4.12118E+00	    32.83705%
  -3	   3	  6.66667E-01	 -5.00000E-01	  8.33333E-01	  6.66667E+00	 -5.00000E+00	  8.24208E+00	 -2.62688E+00	   --32.92776%
  -3	   4	  6.66667E-01	 -3.33333E-01	  7.45356E-01	  6.66667E+00	 -3.33333E+00	  8.11135E+00	 -1.13259E+00	   --32.14343%
  -3	   5	  6.66667E-01	 -1.66667E-01	  6.87184E-01	  6.66667E+00	 -1.66667E+00	  7.98061E+00	  3.61700E-01	   --30.25183%
  -3	   6	  6.66667E-01	  0.00000E+00	  6.66667E-01	  6.66667E+00	  0.00000E+00	  7.84988E+00	  1.85599E+00	   --27.28719%
  -2	  -6	  8.33333E-01	  1.66667E-01	  8.49837E-01	  8.33333E+00	  1.66667E+00	  9.71154E+00	  3.52460E+00	   --22.39105%
  -2	  -5	  8.33333E-01	  3.33333E-01	  8.97527E-01	  8.33333E+00	  3.33333E+00	  9.58080E+00	  5.01889E+00	   --19.38805%
  -2	  -4	  8.33333E-01	  5.00000E-01	  9.71825E-01	  8.33333E+00	  5.00000E+00	  9.45007E+00	  6.51318E+00	   --16.38594%
  -2	  -3	  8.33333E-01	  6.66667E-01	  1.06719E+00	  8.33333E+00	  6.66667E+00	  9.31934E+00	  8.00747E+00	   --13.54540%
  -2	  -2	  8.33333E-01	  8.33333E-01	  1.17851E+00	  8.33333E+00	  8.33333E+00	  9.18860E+00	  9.50176E+00	   --10.95484%
  -2	  -1	  8.33333E-01	  1.00000E+00	  1.30171E+00	  8.33333E+00	  1.00000E+01	  9.05787E+00	  1.09961E+01	   --8.64571%
  -2	   0	  8.33333E-01	 -1.00000E+00	  1.30171E+00	  8.33333E+00	 -1.00000E+01	  1.06267E+01	 -6.93545E+00	    30.16359%
  -2	   1	  8.33333E-01	 -8.33333E-01	  1.17851E+00	  8.33333E+00	 -8.33333E+00	  1.04959E+01	 -5.44116E+00	   --30.54613%
  -2	   2	  8.33333E-01	 -6.66667E-01	  1.06719E+00	  8.33333E+00	 -6.66667E+00	  1.03652E+01	 -3.94686E+00	   --30.60953%
  -2	   3	  8.33333E-01	 -5.00000E-01	  9.71825E-01	  8.33333E+00	 -5.00000E+00	  1.02345E+01	 -2.45257E+00	   --30.20299%
  -2	   4	  8.33333E-01	 -3.33333E-01	  8.97527E-01	  8.33333E+00	 -3.33333E+00	  1.01037E+01	 -9.58280E-01	   --29.18785%
  -2	   5	  8.33333E-01	 -1.66667E-01	  8.49837E-01	  8.33333E+00	 -1.66667E+00	  9.97300E+00	  5.36012E-01	   --27.49428%
  -2	   6	  8.33333E-01	  0.00000E+00	  8.33333E-01	  8.33333E+00	  0.00000E+00	  9.84227E+00	  2.03030E+00	   --25.17170%
  -1	  -6	  1.00000E+00	  1.66667E-01	  1.01379E+00	  1.00000E+01	  1.66667E+00	  1.17039E+01	  3.69891E+00	   --21.60614%
  -1	  -5	  1.00000E+00	  3.33333E-01	  1.05409E+00	  1.00000E+01	  3.33333E+00	  1.15732E+01	  5.19320E+00	   --19.20375%
  -1	  -4	  1.00000E+00	  5.00000E-01	  1.11803E+00	  1.00000E+01	  5.00000E+00	  1.14425E+01	  6.68749E+00	   --16.75028%
  -1	  -3	  1.00000E+00	  6.66667E-01	  1.20185E+00	  1.00000E+01	  6.66667E+00	  1.13117E+01	  8.18178E+00	   --14.35508%
  -1	  -2	  1.00000E+00	  8.33333E-01	  1.30171E+00	  1.00000E+01	  8.33333E+00	  1.11810E+01	  9.67608E+00	   --12.09352%
  -1	  -1	  1.00000E+00	  1.00000E+00	  1.41421E+00	  1.00000E+01	  1.00000E+01	  1.10503E+01	  1.11704E+01	   --10.00799%
  -1	   0	  1.00000E+00	 -1.00000E+00	  1.41421E+00	  1.00000E+01	 -1.00000E+01	  1.26191E+01	 -6.76114E+00	   --29.09500%
  -1	   1	  1.00000E+00	 -8.33333E-01	  1.30171E+00	  1.00000E+01	 -8.33333E+00	  1.24883E+01	 -5.26685E+00	   --29.13683%
  -1	   2	  1.00000E+00	 -6.66667E-01	  1.20185E+00	  1.00000E+01	 -6.66667E+00	  1.23576E+01	 -3.77255E+00	   --28.89063%
  -1	   3	  1.00000E+00	 -5.00000E-01	  1.11803E+00	  1.00000E+01	 -5.00000E+00	  1.22269E+01	 -2.27826E+00	   --28.27495%
  -1	   4	  1.00000E+00	 -3.33333E-01	  1.05409E+00	  1.00000E+01	 -3.33333E+00	  1.20961E+01	 -7.83969E-01	   --27.22810%
  -1	   5	  1.00000E+00	 -1.66667E-01	  1.01379E+00	  1.00000E+01	 -1.66667E+00	  1.19654E+01	  7.10323E-01	   --25.73146%
  -1	   6	  1.00000E+00	  0.00000E+00	  1.00000E+00	  1.00000E+01	  0.00000E+00	  1.18347E+01	  2.20462E+00	   --23.82533%
   0	  -6	 -1.00000E+00	  1.66667E-01	  1.01379E+00	 -1.00000E+01	  1.66667E+00	 -1.22047E+01	  1.60717E+00	   --17.91657%
   0	  -5	 -1.00000E+00	  3.33333E-01	  1.05409E+00	 -1.00000E+01	  3.33333E+00	 -1.23355E+01	  3.10146E+00	   --18.45183%
   0	  -4	 -1.00000E+00	  5.00000E-01	  1.11803E+00	 -1.00000E+01	  5.00000E+00	 -1.24662E+01	  4.59575E+00	   --18.80970%
   0	  -3	 -1.00000E+00	  6.66667E-01	  1.20185E+00	 -1.00000E+01	  6.66667E+00	 -1.25969E+01	  6.09005E+00	   --19.01245%
   0	  -2	 -1.00000E+00	  8.33333E-01	  1.30171E+00	 -1.00000E+01	  8.33333E+00	 -1.27277E+01	  7.58434E+00	   --19.09174%
   0	  -1	 -1.00000E+00	  1.00000E+00	  1.41421E+00	 -1.00000E+01	  1.00000E+01	 -1.28584E+01	  9.07863E+00	   --19.07982%
   0	   0	 -1.00000E+00	 -1.00000E+00	  1.41421E+00	 -1.00000E+01	 -1.00000E+01	 -1.12896E+01	 -8.85287E+00	   --12.03045%
   0	   1	 -1.00000E+00	 -8.33333E-01	  1.30171E+00	 -1.00000E+01	 -8.33333E+00	 -1.14203E+01	 -7.35858E+00	   --12.67981%
   0	   2	 -1.00000E+00	 -6.66667E-01	  1.20185E+00	 -1.00000E+01	 -6.66667E+00	 -1.15511E+01	 -5.86429E+00	   --13.48052%
   0	   3	 -1.00000E+00	 -5.00000E-01	  1.11803E+00	 -1.00000E+01	 -5.00000E+00	 -1.16818E+01	 -4.37000E+00	   --14.39926%
   0	   4	 -1.00000E+00	 -3.33333E-01	  1.05409E+00	 -1.00000E+01	 -3.33333E+00	 -1.18125E+01	 -2.87571E+00	   --15.37665%
   0	   5	 -1.00000E+00	 -1.66667E-01	  1.01379E+00	 -1.00000E+01	 -1.66667E+00	 -1.19433E+01	 -1.38141E+00	   --16.33635%
   0	   6	 -1.00000E+00	  0.00000E+00	  1.00000E+00	 -1.00000E+01	  0.00000E+00	 -1.20740E+01	  1.12877E-01	   --17.20217%
   1	  -6	 -8.33333E-01	  1.66667E-01	  8.49837E-01	 -8.33333E+00	  1.66667E+00	 -1.02124E+01	  1.78148E+00	   --18.15960%
   1	  -5	 -8.33333E-01	  3.33333E-01	  8.97527E-01	 -8.33333E+00	  3.33333E+00	 -1.03431E+01	  3.27577E+00	   --18.53167%
   1	  -4	 -8.33333E-01	  5.00000E-01	  9.71825E-01	 -8.33333E+00	  5.00000E+00	 -1.04738E+01	  4.77007E+00	   --18.70559%
   1	  -3	 -8.33333E-01	  6.66667E-01	  1.06719E+00	 -8.33333E+00	  6.66667E+00	 -1.06046E+01	  6.26436E+00	   --18.72740%
   1	  -2	 -8.33333E-01	  8.33333E-01	  1.17851E+00	 -8.33333E+00	  8.33333E+00	 -1.07353E+01	  7.75865E+00	   --18.64596%
   1	  -1	 -8.33333E-01	  1.00000E+00	  1.30171E+00	 -8.33333E+00	  1.00000E+01	 -1.08660E+01	  9.25294E+00	   --18.50189%
   1	   0	 -8.33333E-01	 -1.00000E+00	  1.30171E+00	 -8.33333E+00	 -1.00000E+01	 -9.29722E+00	 -8.67856E+00	    12.86040%
   1	   1	 -8.33333E-01	 -8.33333E-01	  1.17851E+00	 -8.33333E+00	 -8.33333E+00	 -9.42796E+00	 -7.18427E+00	   --13.38863%
   1	   2	 -8.33333E-01	 -6.66667E-01	  1.06719E+00	 -8.33333E+00	 -6.66667E+00	 -9.55869E+00	 -5.68998E+00	   --14.08639%
   1	   3	 -8.33333E-01	 -5.00000E-01	  9.71825E-01	 -8.33333E+00	 -5.00000E+00	 -9.68942E+00	 -4.19569E+00	   --14.93228%
   1	   4	 -8.33333E-01	 -3.33333E-01	  8.97527E-01	 -8.33333E+00	 -3.33333E+00	 -9.82016E+00	 -2.70140E+00	   --15.86211%
   1	   5	 -8.33333E-01	 -1.66667E-01	  8.49837E-01	 -8.33333E+00	 -1.66667E+00	 -9.95089E+00	 -1.20710E+00	   --16.77574%
   1	   6	 -8.33333E-01	  0.00000E+00	  8.33333E-01	 -8.33333E+00	  0.00000E+00	 -1.00816E+01	  2.87189E-01	   --17.56664%
   2	  -6	 -6.66667E-01	  1.66667E-01	  6.87184E-01	 -6.66667E+00	  1.66667E+00	 -8.21997E+00	  1.95579E+00	   --18.69924%
   2	  -5	 -6.66667E-01	  3.33333E-01	  7.45356E-01	 -6.66667E+00	  3.33333E+00	 -8.35070E+00	  3.45008E+00	   --18.68306%
   2	  -4	 -6.66667E-01	  5.00000E-01	  8.33333E-01	 -6.66667E+00	  5.00000E+00	 -8.48144E+00	  4.94438E+00	   --18.49388%
   2	  -3	 -6.66667E-01	  6.66667E-01	  9.42809E-01	 -6.66667E+00	  6.66667E+00	 -8.61217E+00	  6.43867E+00	   --18.21655%
   2	  -2	 -6.66667E-01	  8.33333E-01	  1.06719E+00	 -6.66667E+00	  8.33333E+00	 -8.74290E+00	  7.93296E+00	   --17.91100%
   2	  -1	 -6.66667E-01	  1.00000E+00	  1.20185E+00	 -6.66667E+00	  1.00000E+01	 -8.87364E+00	  9.42725E+00	   --17.61140%
   2	   0	 -6.66667E-01	 -1.00000E+00	  1.20185E+00	 -6.66667E+00	 -1.00000E+01	 -7.30483E+00	 -8.50425E+00	    14.50558%
   2	   1	 -6.66667E-01	 -8.33333E-01	  1.06719E+00	 -6.66667E+00	 -8.33333E+00	 -7.43557E+00	 -7.00996E+00	    14.97736%
   2	   2	 -6.66667E-01	 -6.66667E-01	  9.42809E-01	 -6.66667E+00	 -6.66667E+00	 -7.56630E+00	 -5.51567E+00	    15.60207%
   2	   3	 -6.66667E-01	 -5.00000E-01	  8.33333E-01	 -6.66667E+00	 -5.00000E+00	 -7.69703E+00	 -4.02138E+00	   --16.36349%
   2	   4	 -6.66667E-01	 -3.33333E-01	  7.45356E-01	 -6.66667E+00	 -3.33333E+00	 -7.82777E+00	 -2.52708E+00	   --17.18511%
   2	   5	 -6.66667E-01	 -1.66667E-01	  6.87184E-01	 -6.66667E+00	 -1.66667E+00	 -7.95850E+00	 -1.03279E+00	   --17.93056%
   2	   6	 -6.66667E-01	  0.00000E+00	  6.66667E-01	 -6.66667E+00	  0.00000E+00	 -8.08923E+00	  4.61500E-01	   --18.45819%
   3	  -6	 -5.00000E-01	  1.66667E-01	  5.27046E-01	 -5.00000E+00	  1.66667E+00	 -6.22758E+00	  2.13010E+00	   --19.93595%
   3	  -5	 -5.00000E-01	  3.33333E-01	  6.00925E-01	 -5.00000E+00	  3.33333E+00	 -6.35831E+00	  3.62440E+00	   --18.98061%
   3	  -4	 -5.00000E-01	  5.00000E-01	  7.07107E-01	 -5.00000E+00	  5.00000E+00	 -6.48905E+00	  5.11869E+00	   --18.07363%
   3	  -3	 -5.00000E-01	  6.66667E-01	  8.33333E-01	 -5.00000E+00	  6.66667E+00	 -6.61978E+00	  6.61298E+00	   --17.32044%
   3	  -2	 -5.00000E-01	  8.33333E-01	  9.71825E-01	 -5.00000E+00	  8.33333E+00	 -6.75051E+00	  8.10727E+00	   --16.73072%
   3	  -1	 -5.00000E-01	  1.00000E+00	  1.11803E+00	 -5.00000E+00	  1.00000E+01	 -6.88125E+00	  9.60156E+00	   --16.27879%
   3	   0	 -5.00000E-01	 -1.00000E+00	  1.11803E+00	 -5.00000E+00	 -1.00000E+01	 -5.31244E+00	 -8.32994E+00	    17.19710%
   3	   1	 -5.00000E-01	 -8.33333E-01	  9.71825E-01	 -5.00000E+00	 -8.33333E+00	 -5.44318E+00	 -6.83565E+00	    17.87437%
   3	   2	 -5.00000E-01	 -6.66667E-01	  8.33333E-01	 -5.00000E+00	 -6.66667E+00	 -5.57391E+00	 -5.34136E+00	    18.70771%
   3	   3	 -5.00000E-01	 -5.00000E-01	  7.07107E-01	 -5.00000E+00	 -5.00000E+00	 -5.70464E+00	 -3.84706E+00	    19.63801%
   3	   4	 -5.00000E-01	 -3.33333E-01	  6.00925E-01	 -5.00000E+00	 -3.33333E+00	 -5.83538E+00	 -2.35277E+00	   --20.47352%
   3	   5	 -5.00000E-01	 -1.66667E-01	  5.27046E-01	 -5.00000E+00	 -1.66667E+00	 -5.96611E+00	 -8.58480E-01	   --20.89698%
   3	   6	 -5.00000E-01	  0.00000E+00	  5.00000E-01	 -5.00000E+00	  0.00000E+00	 -6.09684E+00	  6.35812E-01	   --20.68226%
   4	  -6	 -3.33333E-01	  1.66667E-01	  3.72678E-01	 -3.33333E+00	  1.66667E+00	 -4.23519E+00	  2.30442E+00	   --22.90904%
   4	  -5	 -3.33333E-01	  3.33333E-01	  4.71405E-01	 -3.33333E+00	  3.33333E+00	 -4.36592E+00	  3.79871E+00	   --19.57108%
   4	  -4	 -3.33333E-01	  5.00000E-01	  6.00925E-01	 -3.33333E+00	  5.00000E+00	 -4.49666E+00	  5.29300E+00	   --17.27314%
   4	  -3	 -3.33333E-01	  6.66667E-01	  7.45356E-01	 -3.33333E+00	  6.66667E+00	 -4.62739E+00	  6.78729E+00	   --15.82137%
   4	  -2	 -3.33333E-01	  8.33333E-01	  8.97527E-01	 -3.33333E+00	  8.33333E+00	 -4.75812E+00	  8.28158E+00	   --14.92732%
   4	  -1	 -3.33333E-01	  1.00000E+00	  1.05409E+00	 -3.33333E+00	  1.00000E+01	 -4.88886E+00	  9.77588E+00	   --14.37843%
   4	   0	 -3.33333E-01	 -1.00000E+00	  1.05409E+00	 -3.33333E+00	 -1.00000E+01	 -3.32005E+00	 -8.15563E+00	    20.94619%
   4	   1	 -3.33333E-01	 -8.33333E-01	  8.97527E-01	 -3.33333E+00	 -8.33333E+00	 -3.45079E+00	 -6.66134E+00	    22.34200%
   4	   2	 -3.33333E-01	 -6.66667E-01	  7.45356E-01	 -3.33333E+00	 -6.66667E+00	 -3.58152E+00	 -5.16704E+00	    24.17742%
   4	   3	 -3.33333E-01	 -5.00000E-01	  6.00925E-01	 -3.33333E+00	 -5.00000E+00	 -3.71225E+00	 -3.67275E+00	    26.43165%
   4	   4	 -3.33333E-01	 -3.33333E-01	  4.71405E-01	 -3.33333E+00	 -3.33333E+00	 -3.84299E+00	 -2.17846E+00	    28.57572%
   4	   5	 -3.33333E-01	 -1.66667E-01	  3.72678E-01	 -3.33333E+00	 -1.66667E+00	 -3.97372E+00	 -6.84169E-01	   --29.08530%
   4	   6	 -3.33333E-01	  0.00000E+00	  3.33333E-01	 -3.33333E+00	  0.00000E+00	 -4.10446E+00	  8.10123E-01	   --26.73388%
   5	  -6	 -1.66667E-01	  1.66667E-01	  2.35702E-01	 -1.66667E+00	  1.66667E+00	 -2.24280E+00	  2.47873E+00	   --29.78579%
   5	  -5	 -1.66667E-01	  3.33333E-01	  3.72678E-01	 -1.66667E+00	  3.33333E+00	 -2.37353E+00	  3.97302E+00	   --20.59933%
   5	  -4	 -1.66667E-01	  5.00000E-01	  5.27046E-01	 -1.66667E+00	  5.00000E+00	 -2.50427E+00	  5.46731E+00	   --15.94967%
   5	  -3	 -1.66667E-01	  6.66667E-01	  6.87184E-01	 -1.66667E+00	  6.66667E+00	 -2.63500E+00	  6.96160E+00	   --13.59899%
   5	  -2	 -1.66667E-01	  8.33333E-01	  8.49837E-01	 -1.66667E+00	  8.33333E+00	 -2.76573E+00	  8.45590E+00	   --12.43021%
   5	  -1	 -1.66667E-01	  1.00000E+00	  1.01379E+00	 -1.66667E+00	  1.00000E+01	 -2.89647E+00	  9.95019E+00	   --11.87674%
   5	   0	 -1.66667E-01	 -1.00000E+00	  1.01379E+00	 -1.66667E+00	 -1.00000E+01	 -1.32766E+00	 -7.98132E+00	    25.29912%
   5	   1	 -1.66667E-01	 -8.33333E-01	  8.49837E-01	 -1.66667E+00	 -8.33333E+00	 -1.45840E+00	 -6.48703E+00	    27.94456%
   5	   2	 -1.66667E-01	 -6.66667E-01	  6.87184E-01	 -1.66667E+00	 -6.66667E+00	 -1.58913E+00	 -4.99273E+00	    31.98238%
   5	   3	 -1.66667E-01	 -5.00000E-01	  5.27046E-01	 -1.66667E+00	 -5.00000E+00	 -1.71987E+00	 -3.49844E+00	    38.54210%
   5	   4	 -1.66667E-01	 -3.33333E-01	  3.72678E-01	 -1.66667E+00	 -3.33333E+00	 -1.85060E+00	 -2.00415E+00	    49.19021%
   5	   5	 -1.66667E-01	 -1.66667E-01	  2.35702E-01	 -1.66667E+00	 -1.66667E+00	 -1.98133E+00	 -5.09857E-01	    58.59782%
   5	   6	 -1.66667E-01	  0.00000E+00	  1.66667E-01	 -1.66667E+00	  0.00000E+00	 -2.11207E+00	  9.84435E-01	   --46.36921%
   6	  -6	  0.00000E+00	  1.66667E-01	  1.66667E-01	  0.00000E+00	  1.66667E+00	 -2.50410E-01	  2.65304E+00	   --38.18860%
   6	  -5	  0.00000E+00	  3.33333E-01	  3.33333E-01	  0.00000E+00	  3.33333E+00	 -3.81144E-01	  4.14733E+00	   --21.58110%
   6	  -4	  0.00000E+00	  5.00000E-01	  5.00000E-01	  0.00000E+00	  5.00000E+00	 -5.11878E-01	  5.64162E+00	   --14.48933%
   6	  -3	  0.00000E+00	  6.66667E-01	  6.66667E-01	  0.00000E+00	  6.66667E+00	 -6.42611E-01	  7.13591E+00	   --11.10573%
   6	  -2	  0.00000E+00	  8.33333E-01	  8.33333E-01	  0.00000E+00	  8.33333E+00	 -7.73345E-01	  8.63021E+00	   --9.56018%
   6	  -1	  0.00000E+00	  1.00000E+00	  1.00000E+00	  0.00000E+00	  1.00000E+01	 -9.04078E-01	  1.01245E+01	   --8.97816%
   6	   0	  0.00000E+00	 -1.00000E+00	  1.00000E+00	  0.00000E+00	 -1.00000E+01	  6.64725E-01	 -7.80701E+00	    29.24633%
   6	   1	  0.00000E+00	 -8.33333E-01	  8.33333E-01	  0.00000E+00	 -8.33333E+00	  5.33991E-01	 -6.31271E+00	    32.98978%
   6	   2	  0.00000E+00	 -6.66667E-01	  6.66667E-01	  0.00000E+00	 -6.66667E+00	  4.03258E-01	 -4.81842E+00	    39.12350%
   6	   3	  0.00000E+00	 -5.00000E-01	  5.00000E-01	  0.00000E+00	 -5.00000E+00	  2.72524E-01	 -3.32413E+00	    50.90676%
   6	   4	  0.00000E+00	 -3.33333E-01	  3.33333E-01	  0.00000E+00	 -3.33333E+00	  1.41791E-01	 -1.82984E+00	    82.28342%
   6	   5	  0.00000E+00	 -1.66667E-01	  1.66667E-01	  0.00000E+00	 -1.66667E+00	  1.10569E-02	 -3.35546E-01	    396.50174%
   6	   6	  0.00000E+00	  0.00000E+00	  0.00000E+00	  0.00000E+00	  0.00000E+00	 -1.19677E-01	  1.15875E+00	   --100.00000%


Maximum distortion: 396.5017%
Predicted coordinate ABCD matrix:
A =   1.000+1
B =   0.000
C =   1.000+1
D =   0.000

SMIA TV distortion:
