Listing of Grid Distortion Data

File : affine_example.txt
Title: Affine Example
Date : 25/06/2021

Units are Millimeters.
Field units are degrees
Wavelength: 1.00000 um
Reference Coordinates: Xref = 0.0, Yref = 0.0


   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
  -5	   3	  3.33333E-01	 -5.00000E-01	  6.00925E-01	  3.33333E+00	 -5.00000E+00	  4.34837E+00	 -2.01582E+00	    68.99607%
  -5	   4	  3.33333E-01	 -3.33333E-01	  4.71405E-01	  3.33333E+00	 -3.33333E+00	  4.13271E+00	 -4.00690E-01	    77.06742%
  -5	   5	  3.33333E-01	 -1.66667E-01	  3.72678E-01	  3.33333E+00	 -1.66667E+00	  3.95237E+00	  1.15061E+00	   --74.16363%
  -5	   6	  3.33333E-01	  0.00000E+00	  3.33333E-01	  3.33333E+00	  0.00000E+00	  3.80446E+00	  2.67128E+00	   --62.18985%
  -4	  -6	  5.00000E-01	  1.66667E-01	  5.27046E-01	  5.00000E+00	  1.66667E+00	  5.82362E+00	  4.40943E+00	   --41.52616%
  -4	  -5	  5.00000E-01	  3.33333E-01	  6.00925E-01	  5.00000E+00	  3.33333E+00	  5.75155E+00	  5.99808E+00	   --35.42399%
  -4	  -4	  5.00000E-01	  5.00000E-01	  7.07107E-01	  5.00000E+00	  5.00000E+00	  5.71795E+00	  7.65702E+00	   --30.64277%
  -4	  -3	  5.00000E-01	  6.66667E-01	  8.33333E-01	  5.00000E+00	  6.66667E+00	  5.71990E+00	  9.41946E+00	   --27.36786%
  -4	  -2	  5.00000E-01	  8.33333E-01	  9.71825E-01	  5.00000E+00	  8.33333E+00	  5.75451E+00	  1.13186E+01	   --25.49683%
  -4	  -1	  5.00000E-01	  1.00000E+00	  1.11803E+00	  5.00000E+00	  1.00000E+01	  5.81887E+00	  1.33876E+01	   --24.83859%
  -4	   0	  5.00000E-01	 -1.00000E+00	  1.11803E+00	  5.00000E+00	 -1.00000E+01	  7.64914E+00	 -7.53246E+00	    34.98625%
  -4	   1	  5.00000E-01	 -8.33333E-01	  9.71825E-01	  5.00000E+00	 -8.33333E+00	  7.22648E+00	 -5.50603E+00	    41.11233%
  -4	   2	  5.00000E-01	 -6.66667E-01	  8.33333E-01	  5.00000E+00	 -6.66667E+00	  6.86261E+00	 -3.64176E+00	    47.50195%
  -4	   3	  5.00000E-01	 -5.00000E-01	  7.07107E-01	  5.00000E+00	 -5.00000E+00	  6.55464E+00	 -1.90645E+00	    52.79239%
  -4	   4	  5.00000E-01	 -3.33333E-01	  6.00925E-01	  5.00000E+00	 -3.33333E+00	  6.29966E+00	 -2.66873E-01	   --55.15029%
  -4	   5	  5.00000E-01	 -1.66667E-01	  5.27046E-01	  5.00000E+00	 -1.66667E+00	  6.09477E+00	  1.31016E+00	   --53.34714%
  -4	   6	  5.00000E-01	  0.00000E+00	  5.00000E-01	  5.00000E+00	  0.00000E+00	  5.93705E+00	  2.85786E+00	   --48.10159%
  -3	  -6	  6.66667E-01	  1.66667E-01	  6.87184E-01	  6.66667E+00	  1.66667E+00	  8.09303E+00	  4.64702E+00	   --36.99087%
  -3	  -5	  6.66667E-01	  3.33333E-01	  7.45356E-01	  6.66667E+00	  3.33333E+00	  8.03971E+00	  6.27635E+00	   --33.31566%
  -3	  -4	  6.66667E-01	  5.00000E-01	  8.33333E-01	  6.66667E+00	  5.00000E+00	  8.03961E+00	  7.97726E+00	   --30.26461%
  -3	  -3	  6.66667E-01	  6.66667E-01	  9.42809E-01	  6.66667E+00	  6.66667E+00	  8.08983E+00	  9.78295E+00	   --28.11317%
  -3	  -2	  6.66667E-01	  8.33333E-01	  1.06719E+00	  6.66667E+00	  8.33333E+00	  8.18747E+00	  1.17266E+01	   --26.92359%
  -3	  -1	  6.66667E-01	  1.00000E+00	  1.20185E+00	  6.66667E+00	  1.00000E+01	  8.32961E+00	  1.38415E+01	   --26.64132%
  -3	   0	  6.66667E-01	 -1.00000E+00	  1.20185E+00	  6.66667E+00	 -1.00000E+01	  1.02006E+01	 -7.54347E+00	   --34.82730%
  -3	   1	  6.66667E-01	 -8.33333E-01	  1.06719E+00	  6.66667E+00	 -8.33333E+00	  9.69332E+00	 -5.48540E+00	   --38.37843%
  -3	   2	  6.66667E-01	 -6.66667E-01	  9.42809E-01	  6.66667E+00	 -6.66667E+00	  9.25966E+00	 -3.58820E+00	   --41.76349%
  -3	   3	  6.66667E-01	 -5.00000E-01	  8.33333E-01	  6.66667E+00	 -5.00000E+00	  8.89664E+00	 -1.81866E+00	   --44.17865%
  -3	   4	  6.66667E-01	 -3.33333E-01	  7.45356E-01	  6.66667E+00	 -3.33333E+00	  8.60138E+00	 -1.43574E-01	   --44.89748%
  -3	   5	  6.66667E-01	 -1.66667E-01	  6.87184E-01	  6.66667E+00	 -1.66667E+00	  8.37096E+00	  1.47026E+00	   --43.62130%
  -3	   6	  6.66667E-01	  0.00000E+00	  6.66667E-01	  6.66667E+00	  0.00000E+00	  8.20247E+00	  3.05606E+00	   --40.70986%
  -2	  -6	  8.33333E-01	  1.66667E-01	  8.49837E-01	  8.33333E+00	  1.66667E+00	  1.05386E+01	  4.91116E+00	   --34.82006%
  -2	  -5	  8.33333E-01	  3.33333E-01	  8.97527E-01	  8.33333E+00	  3.33333E+00	  1.05030E+01	  6.59224E+00	   --32.58590%
  -2	  -4	  8.33333E-01	  5.00000E-01	  9.71825E-01	  8.33333E+00	  5.00000E+00	  1.05355E+01	  8.34619E+00	   --30.71788%
  -2	  -3	  8.33333E-01	  6.66667E-01	  1.06719E+00	  8.33333E+00	  6.66667E+00	  1.06330E+01	  1.02062E+01	   --29.43172%
  -2	  -2	  8.33333E-01	  8.33333E-01	  1.17851E+00	  8.33333E+00	  8.33333E+00	  1.07927E+01	  1.22055E+01	   --28.81579%
  -2	  -1	  8.33333E-01	  1.00000E+00	  1.30171E+00	  8.33333E+00	  1.00000E+01	  1.10116E+01	  1.43773E+01	   --28.86955%
  -2	   0	  8.33333E-01	 -1.00000E+00	  1.30171E+00	  8.33333E+00	 -1.00000E+01	  1.29349E+01	 -7.60539E+00	   --35.20693%
  -2	   1	  8.33333E-01	 -8.33333E-01	  1.17851E+00	  8.33333E+00	 -8.33333E+00	  1.23421E+01	 -5.50461E+00	   --37.05186%
  -2	   2	  8.33333E-01	 -6.66667E-01	  1.06719E+00	  8.33333E+00	 -6.66667E+00	  1.18377E+01	 -3.56341E+00	   --38.71827%
  -2	   3	  8.33333E-01	 -5.00000E-01	  9.71825E-01	  8.33333E+00	 -5.00000E+00	  1.14187E+01	 -1.74858E+00	   --39.75569%
  -2	   4	  8.33333E-01	 -3.33333E-01	  8.97527E-01	  8.33333E+00	 -3.33333E+00	  1.10821E+01	 -2.69184E-02	   --39.83475%
  -2	   5	  8.33333E-01	 -1.66667E-01	  8.49837E-01	  8.33333E+00	 -1.66667E+00	  1.08252E+01	  1.63479E+00	   --38.87006%
  -2	   6	  8.33333E-01	  0.00000E+00	  8.33333E-01	  8.33333E+00	  0.00000E+00	  1.06450E+01	  3.26975E+00	   --37.06365%
  -1	  -6	  1.00000E+00	  1.66667E-01	  1.01379E+00	  1.00000E+01	  1.66667E+00	  1.32045E+01	  5.20575E+00	   --34.36693%
  -1	  -5	  1.00000E+00	  3.33333E-01	  1.05409E+00	  1.00000E+01	  3.33333E+00	  1.31858E+01	  6.94964E+00	   --33.02281%
  -1	  -4	  1.00000E+00	  5.00000E-01	  1.11803E+00	  1.00000E+01	  5.00000E+00	  1.32498E+01	  8.76770E+00	   --31.94297%
  -1	  -3	  1.00000E+00	  6.66667E-01	  1.20185E+00	  1.00000E+01	  6.66667E+00	  1.33937E+01	  1.06931E+01	   --31.27414%
  -1	  -2	  1.00000E+00	  8.33333E-01	  1.30171E+00	  1.00000E+01	  8.33333E+00	  1.36144E+01	  1.27591E+01	   --31.09002%
  -1	  -1	  1.00000E+00	  1.00000E+00	  1.41421E+00	  1.00000E+01	  1.00000E+01	  1.39092E+01	  1.49989E+01	   --31.40573%
  -1	   0	  1.00000E+00	 -1.00000E+00	  1.41421E+00	  1.00000E+01	 -1.00000E+01	  1.58964E+01	 -7.71436E+00	   --36.23480%
  -1	   1	  1.00000E+00	 -8.33333E-01	  1.30171E+00	  1.00000E+01	 -8.33333E+00	  1.52171E+01	 -5.55981E+00	   --36.98887%
  -1	   2	  1.00000E+00	 -6.66667E-01	  1.20185E+00	  1.00000E+01	 -6.66667E+00	  1.46409E+01	 -3.56354E+00	   --37.63952%
  -1	   3	  1.00000E+00	 -5.00000E-01	  1.11803E+00	  1.00000E+01	 -5.00000E+00	  1.41649E+01	 -1.69235E+00	   --37.93561%
  -1	   4	  1.00000E+00	 -3.33333E-01	  1.05409E+00	  1.00000E+01	 -3.33333E+00	  1.37862E+01	  8.69678E-02	   --37.71378%
  -1	   5	  1.00000E+00	 -1.66667E-01	  1.01379E+00	  1.00000E+01	 -1.66667E+00	  1.35018E+01	  1.80762E+00	   --36.94850%
  -1	   6	  1.00000E+00	  0.00000E+00	  1.00000E+00	  1.00000E+01	  0.00000E+00	  1.33089E+01	  3.50281E+00	   --35.75918%
   0	  -6	 -1.00000E+00	  1.66667E-01	  1.01379E+00	 -1.00000E+01	  1.66667E+00	 -1.39805E+01	  2.82737E+00	   --29.90268%
   0	  -5	 -1.00000E+00	  3.33333E-01	  1.05409E+00	 -1.00000E+01	  3.33333E+00	 -1.42649E+01	  4.54802E+00	   --30.36168%
   0	  -4	 -1.00000E+00	  5.00000E-01	  1.11803E+00	 -1.00000E+01	  5.00000E+00	 -1.46436E+01	  6.32733E+00	   --30.91785%
   0	  -3	 -1.00000E+00	  6.66667E-01	  1.20185E+00	 -1.00000E+01	  6.66667E+00	 -1.51197E+01	  8.19852E+00	   --31.60966%
   0	  -2	 -1.00000E+00	  8.33333E-01	  1.30171E+00	 -1.00000E+01	  8.33333E+00	 -1.56958E+01	  1.01948E+01	   --32.45950%
   0	  -1	 -1.00000E+00	  1.00000E+00	  1.41421E+00	 -1.00000E+01	  1.00000E+01	 -1.63751E+01	  1.23493E+01	   --33.48358%
   0	   0	 -1.00000E+00	 -1.00000E+00	  1.41421E+00	 -1.00000E+01	 -1.00000E+01	 -1.43879E+01	 -1.03639E+01	   --25.46321%
   0	   1	 -1.00000E+00	 -8.33333E-01	  1.30171E+00	 -1.00000E+01	 -8.33333E+00	 -1.40931E+01	 -8.12412E+00	   --25.93405%
   0	   2	 -1.00000E+00	 -6.66667E-01	  1.20185E+00	 -1.00000E+01	 -6.66667E+00	 -1.38724E+01	 -6.05813E+00	   --26.72458%
   0	   3	 -1.00000E+00	 -5.00000E-01	  1.11803E+00	 -1.00000E+01	 -5.00000E+00	 -1.37285E+01	 -4.13271E+00	   --27.59640%
   0	   4	 -1.00000E+00	 -3.33333E-01	  1.05409E+00	 -1.00000E+01	 -3.33333E+00	 -1.36645E+01	 -2.31466E+00	   --28.37631%
   0	   5	 -1.00000E+00	 -1.66667E-01	  1.01379E+00	 -1.00000E+01	 -1.66667E+00	 -1.36832E+01	 -5.70764E-01	   --28.99418%
   0	   6	 -1.00000E+00	  0.00000E+00	  1.00000E+00	 -1.00000E+01	  0.00000E+00	 -1.37876E+01	  1.13217E+00	   --29.47601%
   1	  -6	 -8.33333E-01	  1.66667E-01	  8.49837E-01	 -8.33333E+00	  1.66667E+00	 -1.13039E+01	  3.00019E+00	   --29.12516%
   1	  -5	 -8.33333E-01	  3.33333E-01	  8.97527E-01	 -8.33333E+00	  3.33333E+00	 -1.15608E+01	  4.66190E+00	   --29.12610%
   1	  -4	 -8.33333E-01	  5.00000E-01	  9.71825E-01	 -8.33333E+00	  5.00000E+00	 -1.18974E+01	  6.38357E+00	   --29.26863%
   1	  -3	 -8.33333E-01	  6.66667E-01	  1.06719E+00	 -8.33333E+00	  6.66667E+00	 -1.23164E+01	  8.19840E+00	   --29.62401%
   1	  -2	 -8.33333E-01	  8.33333E-01	  1.17851E+00	 -8.33333E+00	  8.33333E+00	 -1.28208E+01	  1.01396E+01	   --30.21971%
   1	  -1	 -8.33333E-01	  1.00000E+00	  1.30171E+00	 -8.33333E+00	  1.00000E+01	 -1.34136E+01	  1.22404E+01	   --31.06798%
   1	   0	 -8.33333E-01	 -1.00000E+00	  1.30171E+00	 -8.33333E+00	 -1.00000E+01	 -1.14903E+01	 -9.74232E+00	   --22.04920%
   1	   1	 -8.33333E-01	 -8.33333E-01	  1.17851E+00	 -8.33333E+00	 -8.33333E+00	 -1.12714E+01	 -7.57053E+00	   --23.53796%
   1	   2	 -8.33333E-01	 -6.66667E-01	  1.06719E+00	 -8.33333E+00	 -6.66667E+00	 -1.11117E+01	 -5.57122E+00	   --25.33754%
   1	   3	 -8.33333E-01	 -5.00000E-01	  9.71825E-01	 -8.33333E+00	 -5.00000E+00	 -1.10142E+01	 -3.71120E+00	   --27.00030%
   1	   4	 -8.33333E-01	 -3.33333E-01	  8.97527E-01	 -8.33333E+00	 -3.33333E+00	 -1.09817E+01	 -1.95726E+00	   --28.21781%
   1	   5	 -8.33333E-01	 -1.66667E-01	  8.49837E-01	 -8.33333E+00	 -1.66667E+00	 -1.10173E+01	 -2.76179E-01	   --28.88978%
   1	   6	 -8.33333E-01	  0.00000E+00	  8.33333E-01	 -8.33333E+00	  0.00000E+00	 -1.11237E+01	  1.36524E+00	   --29.11920%
   2	  -6	 -6.66667E-01	  1.66667E-01	  6.87184E-01	 -6.66667E+00	  1.66667E+00	 -8.84966E+00	  3.16472E+00	   --30.11256%
   2	  -5	 -6.66667E-01	  3.33333E-01	  7.45356E-01	 -6.66667E+00	  3.33333E+00	 -9.08008E+00	  4.77856E+00	   --29.09646%
   2	  -4	 -6.66667E-01	  5.00000E-01	  8.33333E-01	 -6.66667E+00	  5.00000E+00	 -9.37535E+00	  6.45364E+00	   --28.40180%
   2	  -3	 -6.66667E-01	  6.66667E-01	  9.42809E-01	 -6.66667E+00	  6.66667E+00	 -9.73836E+00	  8.22318E+00	   --28.13321%
   2	  -2	 -6.66667E-01	  8.33333E-01	  1.06719E+00	 -6.66667E+00	  8.33333E+00	 -1.01720E+01	  1.01204E+01	   --28.29264%
   2	  -1	 -6.66667E-01	  1.00000E+00	  1.20185E+00	 -6.66667E+00	  1.00000E+01	 -1.06793E+01	  1.21785E+01	   --28.85637%
   2	   0	 -6.66667E-01	 -1.00000E+00	  1.20185E+00	 -6.66667E+00	 -1.00000E+01	 -8.80832E+00	 -9.20653E+00	   --19.56785%
   2	   1	 -6.66667E-01	 -8.33333E-01	  1.06719E+00	 -6.66667E+00	 -8.33333E+00	 -8.66617E+00	 -7.09165E+00	   --22.83728%
   2	   2	 -6.66667E-01	 -6.66667E-01	  9.42809E-01	 -6.66667E+00	 -6.66667E+00	 -8.56854E+00	 -5.14796E+00	   --26.32304%
   2	   3	 -6.66667E-01	 -5.00000E-01	  8.33333E-01	 -6.66667E+00	 -5.00000E+00	 -8.51832E+00	 -3.34227E+00	   --29.27620%
   2	   4	 -6.66667E-01	 -3.33333E-01	  7.45356E-01	 -6.66667E+00	 -3.33333E+00	 -8.51841E+00	 -1.64136E+00	   --31.12725%
   2	   5	 -6.66667E-01	 -1.66667E-01	  6.87184E-01	 -6.66667E+00	 -1.66667E+00	 -8.57173E+00	 -1.20311E-02	   --31.66497%
   2	   6	 -6.66667E-01	  0.00000E+00	  6.66667E-01	 -6.66667E+00	  0.00000E+00	 -8.68118E+00	  1.57893E+00	   --31.14330%
   3	  -6	 -5.00000E-01	  1.66667E-01	  5.27046E-01	 -5.00000E+00	  1.66667E+00	 -6.57347E+00	  3.32483E+00	   --33.87042%
   3	  -5	 -5.00000E-01	  3.33333E-01	  6.00925E-01	 -5.00000E+00	  3.33333E+00	 -6.77837E+00	  4.90186E+00	   --30.76472%
   3	  -4	 -5.00000E-01	  5.00000E-01	  7.07107E-01	 -5.00000E+00	  5.00000E+00	 -7.03335E+00	  6.54143E+00	   --28.53198%
   3	  -3	 -5.00000E-01	  6.66667E-01	  8.33333E-01	 -5.00000E+00	  6.66667E+00	 -7.34132E+00	  8.27675E+00	   --27.22781%
   3	  -2	 -5.00000E-01	  8.33333E-01	  9.71825E-01	 -5.00000E+00	  8.33333E+00	 -7.70518E+00	  1.01410E+01	   --26.72533%
   3	  -1	 -5.00000E-01	  1.00000E+00	  1.11803E+00	 -5.00000E+00	  1.00000E+01	 -8.12785E+00	  1.21674E+01	   --26.88972%
   3	   0	 -5.00000E-01	 -1.00000E+00	  1.11803E+00	 -5.00000E+00	 -1.00000E+01	 -6.29758E+00	 -8.75264E+00	    19.09558%
   3	   1	 -5.00000E-01	 -8.33333E-01	  9.71825E-01	 -5.00000E+00	 -8.33333E+00	 -6.23322E+00	 -6.68360E+00	    25.05314%
   3	   2	 -5.00000E-01	 -6.66667E-01	  8.33333E-01	 -5.00000E+00	 -6.66667E+00	 -6.19861E+00	 -4.78447E+00	    31.22816%
   3	   3	 -5.00000E-01	 -5.00000E-01	  7.07107E-01	 -5.00000E+00	 -5.00000E+00	 -6.19665E+00	 -3.02204E+00	   --36.53446%
   3	   4	 -5.00000E-01	 -3.33333E-01	  6.00925E-01	 -5.00000E+00	 -3.33333E+00	 -6.23025E+00	 -1.36310E+00	   --39.65273%
   3	   5	 -5.00000E-01	 -1.66667E-01	  5.27046E-01	 -5.00000E+00	 -1.66667E+00	 -6.30232E+00	  2.25554E-01	   --39.72663%
   3	   6	 -5.00000E-01	  0.00000E+00	  5.00000E-01	 -5.00000E+00	  0.00000E+00	 -6.41576E+00	  1.77713E+00	   --37.28892%
   4	  -6	 -3.33333E-01	  1.66667E-01	  3.72678E-01	 -3.33333E+00	  1.66667E+00	 -4.43108E+00	  3.48438E+00	   --41.63858%
   4	  -5	 -3.33333E-01	  3.33333E-01	  4.71405E-01	 -3.33333E+00	  3.33333E+00	 -4.61141E+00	  5.03567E+00	   --34.44442%
   4	  -4	 -3.33333E-01	  5.00000E-01	  6.00925E-01	 -3.33333E+00	  5.00000E+00	 -4.82708E+00	  6.65080E+00	   --29.69832%
   4	  -3	 -3.33333E-01	  6.66667E-01	  7.45356E-01	 -3.33333E+00	  6.66667E+00	 -5.08097E+00	  8.36297E+00	   --26.90526%
   4	  -2	 -3.33333E-01	  8.33333E-01	  8.97527E-01	 -3.33333E+00	  8.33333E+00	 -5.37600E+00	  1.02054E+01	   --25.53740%
   4	  -1	 -3.33333E-01	  1.00000E+00	  1.05409E+00	 -3.33333E+00	  1.00000E+01	 -5.71508E+00	  1.22112E+01	   --25.22045%
   4	   0	 -3.33333E-01	 -1.00000E+00	  1.05409E+00	 -3.33333E+00	 -1.00000E+01	 -3.91386E+00	 -8.37679E+00	    21.55460%
   4	   1	 -3.33333E-01	 -8.33333E-01	  8.97527E-01	 -3.33333E+00	 -8.33333E+00	 -3.92825E+00	 -6.34253E+00	    30.90839%
   4	   2	 -3.33333E-01	 -6.66667E-01	  7.45356E-01	 -3.33333E+00	 -6.66667E+00	 -3.95763E+00	 -4.47688E+00	    41.61993%
   4	   3	 -3.33333E-01	 -5.00000E-01	  6.00925E-01	 -3.33333E+00	 -5.00000E+00	 -4.00491E+00	 -2.74663E+00	    52.61508%
   4	   4	 -3.33333E-01	 -3.33333E-01	  4.71405E-01	 -3.33333E+00	 -3.33333E+00	 -4.07299E+00	 -1.11859E+00	    60.13804%
   4	   5	 -3.33333E-01	 -1.66667E-01	  3.72678E-01	 -3.33333E+00	 -1.66667E+00	 -4.16477E+00	  4.40450E-01	   --59.12450%
   4	   6	 -3.33333E-01	  0.00000E+00	  3.33333E-01	 -3.33333E+00	  0.00000E+00	 -4.28317E+00	  1.96370E+00	   --50.92784%
   5	  -6	 -1.66667E-01	  1.66667E-01	  2.35702E-01	 -1.66667E+00	  1.66667E+00	 -2.37820E+00	  3.64725E+00	   --53.51312%
   5	  -5	 -1.66667E-01	  3.33333E-01	  3.72678E-01	 -1.66667E+00	  3.33333E+00	 -2.53495E+00	  5.18388E+00	   --39.43543%
   5	  -4	 -1.66667E-01	  5.00000E-01	  5.27046E-01	 -1.66667E+00	  5.00000E+00	 -2.71226E+00	  6.78563E+00	   --31.44950%
   5	  -3	 -1.66667E-01	  6.66667E-01	  6.87184E-01	 -1.66667E+00	  6.66667E+00	 -2.91305E+00	  8.48571E+00	   --26.98723%
   5	  -2	 -1.66667E-01	  8.33333E-01	  8.49837E-01	 -1.66667E+00	  8.33333E+00	 -3.14022E+00	  1.03173E+01	   --24.72043%
   5	  -1	 -1.66667E-01	  1.00000E+00	  1.01379E+00	 -1.66667E+00	  1.00000E+01	 -3.39667E+00	  1.23137E+01	   --23.93324%
   5	   0	 -1.66667E-01	 -1.00000E+00	  1.01379E+00	 -1.66667E+00	 -1.00000E+01	 -1.61288E+00	 -8.07510E+00	    26.35010%
   5	   1	 -1.66667E-01	 -8.33333E-01	  8.49837E-01	 -1.66667E+00	 -8.33333E+00	 -1.70699E+00	 -6.06454E+00	    39.35957%
   5	   2	 -1.66667E-01	 -6.66667E-01	  6.87184E-01	 -1.66667E+00	 -6.66667E+00	 -1.80133E+00	 -4.22130E+00	    57.63852%
   5	   3	 -1.66667E-01	 -5.00000E-01	  5.27046E-01	 -1.66667E+00	 -5.00000E+00	 -1.89881E+00	 -2.51218E+00	    85.46392%
   5	   4	 -1.66667E-01	 -3.33333E-01	  3.72678E-01	 -1.66667E+00	 -3.33333E+00	 -2.00233E+00	 -9.03975E-01	    120.55380%
   5	   5	 -1.66667E-01	 -1.66667E-01	  2.35702E-01	 -1.66667E+00	 -1.66667E+00	 -2.11480E+00	  6.36529E-01	   --115.48905%
   5	   6	 -1.66667E-01	  0.00000E+00	  1.66667E-01	 -1.66667E+00	  0.00000E+00	 -2.23912E+00	  2.14254E+00	   --78.49908%
   6	  -6	  0.00000E+00	  1.66667E-01	  1.66667E-01	  0.00000E+00	  1.66667E+00	 -3.70571E-01	  3.81732E+00	   --62.59146%
   6	  -5	  0.00000E+00	  3.33333E-01	  3.33333E-01	  0.00000E+00	  3.33333E+00	 -5.04694E-01	  5.35035E+00	   --42.93145%
   6	  -4	  0.00000E+00	  5.00000E-01	  5.00000E-01	  0.00000E+00	  5.00000E+00	 -6.44628E-01	  6.94980E+00	   --32.72568%
   6	  -3	  0.00000E+00	  6.66667E-01	  6.66667E-01	  0.00000E+00	  6.66667E+00	 -7.93277E-01	  8.64886E+00	   --27.14541%
   6	  -2	  0.00000E+00	  8.33333E-01	  8.33333E-01	  0.00000E+00	  8.33333E+00	 -9.53546E-01	  1.04808E+01	   --24.26406%
   6	  -1	  0.00000E+00	  1.00000E+00	  1.00000E+00	  0.00000E+00	  1.00000E+01	 -1.12834E+00	  1.24787E+01	   --23.15485%
   6	   0	  0.00000E+00	 -1.00000E+00	  1.00000E+00	  0.00000E+00	 -1.00000E+01	  6.49635E-01	 -7.84369E+00	    31.30758%
   6	   1	  0.00000E+00	 -8.33333E-01	  8.33333E-01	  0.00000E+00	 -8.33333E+00	  4.74839E-01	 -5.84577E+00	    46.42377%
   6	   2	  0.00000E+00	 -6.66667E-01	  6.66667E-01	  0.00000E+00	 -6.66667E+00	  3.14570E-01	 -4.01388E+00	    70.84645%
   6	   3	  0.00000E+00	 -5.00000E-01	  5.00000E-01	  0.00000E+00	 -5.00000E+00	  1.65921E-01	 -2.31481E+00	    123.67329%
   6	   4	  0.00000E+00	 -3.33333E-01	  3.33333E-01	  0.00000E+00	 -3.33333E+00	  2.59874E-02	 -7.15367E-01	    391.50924%
   6	   5	  0.00000E+00	 -1.66667E-01	  1.66667E-01	  0.00000E+00	 -1.66667E+00	 -1.08136E-01	  8.17666E-01	   --324.96015%
   6	   6	  0.00000E+00	  0.00000E+00	  0.00000E+00	  0.00000E+00	  0.00000E+00	 -2.39353E-01	  2.31749E+00	   --108.82223%


Maximum distortion: 391.5092%
Predicted coordinate ABCD matrix:
A =   1.000+1
B =   0.000
C =   1.000+1
D =   0.000

